Ташкилот номи;СТИР;
Nókis qalası 27-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207002872;
Nókis qalası 28-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048482;
Nókis qalası 29-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207274259;
Nókis qalası 30-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207003855;
Nókis qalası 31-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050197;
Nókis qalası 32-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207048467;
Nókis qalası 1-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004252;
Nókis qalası 34-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207049157;
Nókis qalası 35-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;204796093;
Nókis qalası 36-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050316;
Nókis qalası 37-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050442;
Nókis qalası 38-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207049140;
Nókis qalası 39-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207032424;
Nókis qalası 40-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050180;
Nókis qalası 41-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050165;
Nókis qalası 42-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207274274;
Nókis qalası 43-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207047190;
Nókis qalası 45-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207002445;
Nókis qalası 46-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207051970;
Nókis qalası 48-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207278126;
Nókis qalası 47-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050466;
Nókis qalası 50-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207049164;
Nókis qalası 51-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207050252;
Nókis qalası 52-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;306913536;
Nókis qalası 53-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;306936737;
Nókis qalası 54-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207310466;
Nókis qalası 55-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207333833;
Nókis qalası 56-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207331242;
Nókis qalası 6-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207004119;
Nókis qalası 10-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207274266;
Nókis qalası 49-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207278213;
Nókis qalası 1-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;206921807;
Nókis qalası 2-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;206920508;
Nókis qalası 3-sanlı ulıwma orta bilim beriw mektebi;206922544;
Nókis qalası 4-sanlı ulıwma orta bilim beriw mektebi;206922211;
Nókis qalası 5-sanlı ulıwma orta bilim beriw mektebi;204098162;
Nókis qalası 6-sanlı ulıwma orta bilim beriw mektebi;206922551;
Nókis qalası 7-sanlı ulıwma orta bilim beriw mektebi;207234362;
Nókis qalası 8-sanlı ulıwma orta bilim beriw mektebi;205031664;
Nókis qalası 9-sanlı ulıwma orta bilim beriw mektebi;206922608;
Nókis qalası 10-sanlı ulıwma orta bilim beriw mektebi;206920680;
Nókis qalası 11-sanlı ulıwma orta bilim beriw mektebi;206919332;
Nókis qalası 12-sanlı ulıwma orta bilim beriw mektebi;204098226;
Nókis qalası 13-sanlı ulıwma orta bilim beriw mektebi;206920737;
Nókis qalası 14-sanlı ulıwma orta bilim beriw mektebi;206921205;
Nókis qalası 15-sanlı ulıwma orta bilim beriw mektebi;206922583;
Nókis qalası 16-sanlı ulıwma orta bilim beriw mektebi;206922615;
Nókis qalası 17-sanlı ulıwma orta bilim beriw mektebi;206919664;
Nókis qalası 18-sanlı ulıwma orta bilim beriw mektebi;206922647;
Nókis qalası 19-sanlı ulıwma orta bilim beriw mektebi;203134514;
Nókis qalası 20-sanlı ulıwma orta bilim beriw mektebi;206922630;
Nókis qalası 21-sanlı ulıwma orta bilim beriw mektebi;206922654;
Nókis qalası 22-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;203134538;
Nókis qalası 23-sanlı ulıwma orta bilim beriw mektebi;206921656;
Nókis qalası 24-sanlı ulıwma orta bilim beriw mektebi;206922662;
Nókis qalası 25-sanlı ulıwma orta bilim beriw mektebi;203138659;
Nókis qalası 26-sanlı ulıwma orta bilim beriw mektebi;206922679;
Nókis qalası 27-sanlı ulıwma orta bilim beriw mektebi;206922686;
Nókis qalası 28-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;206920697;
Nókis qalası 30-sanlı ulıwma orta bilim beriw mektebi;206920744;
Nókis qalası 31-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;204098280;
Nókis qalası 32-sanlı ulıwma orta bilim beriw mektebi;204098297;
Nókis qalası 33-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;204098305;
Nókis qalası 34-sanlı ulıwma orta bilim beriw mektebi;206922702;
Nókis qalası 35-sanlı ulıwma orta bilim beriw mektebi;206877591;
Nókis qalası 36-sanlı ulıwma orta bilim beriw mektebi;206922575;
Nókis qalası 37-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;203147798;
Nókis qalası 38-sanlı ulıwma orta bilim beriw mektebi;206922568;
Nókis qalası 39-sanlı ulıwma orta bilim beriw mektebi;206918777;
Nókis qalası 40-sanlı ulıwma orta bilim beriw mektebi;206918072;
Nókis qalası 29-sanlı ulıwma orta bilim beriw mektebi;206918784;
Nókis qalası 41-sanlı ulıwma orta bilim beriw mektebi;204098320;
Nókis qalası 42-sanlı ulıwma orta bilim beriw mektebi;206920088;
Nókis qalası 43-sanlı ulıwma orta bilim beriw mektebi;206920705;
Nókis qalası 44-sanlı ulıwma orta bilim beriw mektebi;207257698;
Nókis qalası 45-sanlı ulıwma orta bilim beriw mektebi;207286171;
Nókis qalası 46-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;200362178;
Nókis qalası 47-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;201020959;
Nókis qalası 48-sanlı ayırım pánler tereńlestirilip oqıtılatuǵın klassları bar ulıwma orta bilim beriw mektebi;206422636;
Nókis qalası 49-sanlı ulıwma orta bilim beriw mektebi;207304551;
Nókis qalası 50-sanlı ulıwma orta bilim beriw mektebi;207304544;
Nókis qalası 51-sanlı ulıwma orta bilim beriw mektebi;306977686;
"Nókis qalası ""Barkamal áwlat"" balalar mektebi";207124530;
Nókis qalası 44-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;207274242;
Nókis qalası 58-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;310051651;
Nókis qalası 60-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;309985635;
Nókis qalası 59-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;310155363;
Nókis qalası 52-sanlı ulıwma orta bilim beriw mektebi;310218821;
Nókis qalası 53-sanlı ulıwma orta bilim beriw mektebi;310239638;
Nókis qalası 62-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;310329439;
Nókis qalası 61-sanlı mámleketlik mektepke shekemgi bilimlendiriw shólkemi;310342527;
Nókis qalası 54-sanlı ulıwma orta bilim beriw mektebi;311250159;
Nókis qalası 55-sanlı ulıwma orta bilim beriw mektebi;312474836;
;;
;;
